id,title,category,section,file,fullPackPages,pageCount,tags,commonlyUsed,version,lastUpdated,status
about-safety-scope,About / Safety / Scope,Reference,reference,docs/reference/about-safety-scope.pdf,1,1,"safety, scope, reference, version, clinical verification",True,v0.5,2026-06-12,draft - requires clinical verification
source-contents,Source Contents,Reference,reference,docs/reference/source-contents.pdf,5,1,"contents, source, reference",False,v0.5,2026-06-12,draft - requires clinical verification
common-abbreviations,Common Abbreviations,Reference,reference,docs/reference/common-abbreviations.pdf,6,1,"abbreviations, glossary, reference",False,v0.5,2026-06-12,draft - requires clinical verification
tactical-field-care-march,Tactical Field Care / MARCH,Trauma,core-protocols,docs/trauma/tactical-field-care-march.pdf,7,1,"MARCH, MARCHH, primary survey, massive haemorrhage, airway, respiration, circulation, head, heat, packaging",True,v0.5,2026-06-12,draft - requires clinical verification
prolonged-field-care,Prolonged Field Care,Trauma,core-protocols,docs/trauma/prolonged-field-care.pdf,8,1,"PFC, prolonged field care, evacuation, monitoring, documentation, wound care, resuscitation",True,v0.5,2026-06-12,draft - requires clinical verification
traumatic-cardiac-arrest,Traumatic Cardiac Arrest,Trauma,core-protocols,docs/trauma/traumatic-cardiac-arrest.pdf,9;10,2,"TCA, traumatic cardiac arrest, HOTT, hypovolaemia, oxygenate, tension, tamponade, ROSC, thoracotomy",True,v0.5,2026-06-12,draft - requires clinical verification
traumatic-haemorrhage-shock-phbt,Traumatic Haemorrhage / Shock / PHBT,Trauma,core-protocols,docs/trauma/traumatic-haemorrhage-shock-phbt.pdf,11;12,2,"haemorrhage, hemorrhage, bleeding, shock, TXA, blood products, PHBT, pelvic binder, permissive hypotension, transfusion",True,v0.5,2026-06-12,draft - requires clinical verification
tourniquet-downgrade-conversion,Tourniquet Downgrade / Conversion,Trauma,core-protocols,docs/trauma/tourniquet-downgrade-conversion.pdf,12,1,"tourniquet, TQ, CAT, downgrade, conversion, wound packing, isotonic fluids",True,v0.5,2026-06-12,draft - requires clinical verification
blood-transfusion-reaction,Blood Transfusion Reaction,Trauma,core-protocols,docs/trauma/blood-transfusion-reaction.pdf,13,1,"transfusion, blood, reaction, PHBT, anaphylaxis, allergy",False,v0.5,2026-06-12,draft - requires clinical verification
burns,Burns,Trauma,core-protocols,docs/trauma/burns.pdf,20;21,2,"burns, thermal, chemical, radiation, fluid, escharotomy, analgesia",True,v0.5,2026-06-12,draft - requires clinical verification
burns-rule-of-10s,Burns Fluid Resuscitation / Rule of 10s,Trauma,core-protocols,docs/trauma/burns-rule-of-10s.pdf,23;24,2,"burns, fluid, rule of 10s, TBSA, resuscitation",True,v0.5,2026-06-12,draft - requires clinical verification
head-injuries,Head Injuries,Trauma,core-protocols,docs/trauma/head-injuries.pdf,26;27,2,"head injury, TBI, GCS, ICP, pupils, neuro, trauma",True,v0.5,2026-06-12,draft - requires clinical verification
crush-injuries,Crush Injuries,Trauma,core-protocols,docs/trauma/crush-injuries.pdf,28;29,2,"crush, rhabdomyolysis, hyperkalaemia, entrapment, limb, trauma",True,v0.5,2026-06-12,draft - requires clinical verification
advanced-airway-management-surgical-airway,Advanced Airway Management / Surgical Airway,Airway / Breathing,core-protocols,docs/airway-breathing/advanced-airway-management-surgical-airway.pdf,14;15,2,"airway, advanced airway, SAD, iGel, OPA, NPA, CICO, surgical airway, cricothyroidotomy, EtCO2",True,v0.5,2026-06-12,draft - requires clinical verification
